sun_alt,sun_az,sat_alt,sat_az,sat_height,phase_angle,measured_mag,lab_brdf_mag,inferred_brdf_mag,sun_x,sun_y,sun_z,obs_x,obs_y,obs_z,A_eff_SA,A_eff_chassis,intensity_lab_brdfs,mag_lab_brdfs
-12.87961863,74.93038699,21.94345986,66.62760125,542.2282993,144.2370551,5.92499382,6.744530049,8.2695497,0,0.997956011,-0.06390461,-0.022821409,-0.160168014,0.986825917,22.68,3.64,4.09E-11,6.747508751
-13.31462094,105.1351538,20.97457956,127.6695758,539.2671926,139.1854676,6.202061073,8.599392411,8.433049943,0,0.99702051,-0.07713691,0.062396323,-0.154702883,0.9859887,0,3.64,7.42E-12,8.602371113
-14.35686903,49.83854771,22.20686547,67.95056041,542.3468492,139.3544082,5.813661489,7.810102885,7.920390795,0,0.995269032,-0.097157364,0.04850583,-0.152782502,0.987068737,0,3.64,1.53E-11,7.813081587
-10.3545738,303.1240793,44.53344433,286.9843658,541.9771892,123.198305,5.100525274,6.862241102,7.166966978,0,0.994279399,-0.106810472,-0.021072238,-0.073664182,0.997060454,22.68,3.64,3.67E-11,6.865219804
-15.274093,308.024737,21.10175619,319.3967115,583.5676025,141.9501743,5.951683911,7.026238633,8.017660352,0,0.995726548,-0.09235064,0.033721987,-0.173277046,0.984295633,0,3.64,3.16E-11,7.029217335
-25.38655745,34.93626825,20.15096925,35.86362056,543.1380945,134.4535559,4.265671149,4.257751153,6.168178339,0,0.96393414,-0.266140893,0.002621796,-0.172820688,0.984949814,0,3.64,4.05E-10,4.260729855
-13.92589623,309.7666674,23.37090619,305.8723154,541.0770678,142.5091001,5.828800004,5.795345836,7.707970768,0,0.996018934,-0.089141927,-0.010161138,-0.153191538,0.988144273,22.68,3.64,9.82E-11,5.798324538
-21.04199596,91.76881359,37.09517819,45.42244923,543.1583597,107.2973206,4.621486014,7.130220895,6.495520915,0,0.955640617,-0.294535246,-0.068885758,-0.068979679,0.995236935,22.68,3.64,2.87E-11,7.133199597
-13.46626157,63.98649084,21.95369447,38.71365157,543.3389999,136.7685125,6.514720811,8.605382727,8.329730096,0,0.996178408,-0.087341737,-0.06751378,-0.147247264,0.986792852,22.68,3.64,7.38E-12,8.608361429
-23.6671076,320.9657755,22.18561014,25.73395889,542.9645405,102.119013,5.941582352,8.459894022,7.615922784,0,0.942741157,-0.333525278,0.141107778,-0.076610724,0.987025528,0,3.64,8.44E-12,8.462872724
-13.32351776,50.82843355,45.16019984,24.45387909,542.4759328,116.8283483,5.071415978,6.750147759,6.694897904,0,0.986411739,-0.164292058,-0.032928477,-0.067539295,0.997173084,22.68,3.64,4.07E-11,6.753126461
-12.67531598,51.5504495,31.01239222,54.23839475,542.5887967,136.2360324,5.667762546,5.783503456,7.290129553,0,0.99476086,-0.102229306,0.005457946,-0.118539972,0.992934281,0,3.64,9.92E-11,5.786482158
-21.71935737,317.5042679,21.12077885,45.42907788,542.7077913,84.14764008,6.083974214,8.700418726,7.661279898,0,0.933233948,-0.359269256,0.165893515,-0.016953844,0.985997925,0,3.64,6.76E-12,8.703397428
-15.49071595,96.01659248,40.08689434,130.1118331,540.4685917,116.0118246,5.127331676,7.020272894,6.703840024,0,0.980670149,-0.195668234,0.048576889,-0.073598945,0.996104152,0,3.64,3.18E-11,7.023251596
-11.33882819,294.9725353,25.31496956,324.4233849,541.2515745,133.4502275,6.98193207,8.819840609,8.545700841,0,0.997400054,-0.072063388,0.069355927,-0.125619629,0.989651183,0,3.64,6.05E-12,8.822819311
-19.84058033,92.93538448,29.33874176,48.23271473,543.3223978,114.615369,5.557758612,7.770813765,7.094704278,0,0.967529483,-0.252758186,-0.085880875,-0.091621984,0.992083609,22.68,3.64,1.59E-11,7.773792467
-12.77327806,308.5981099,25.95269301,301.103987,540.9264127,140.5930539,6.24082332,6.290809884,7.745165755,0,0.996529444,-0.083241019,-0.017908714,-0.13915903,0.990108096,22.68,3.64,6.22E-11,6.293788586
-14.89561297,296.1874633,45.11305357,296.7873722,540.7498215,119.9888605,4.76221878,5.787153244,6.256894949,0,0.982960149,-0.183818783,0.000772453,-0.075036918,0.997180457,0,3.64,9.89E-11,5.790131946
-28.86583877,27.76026842,22.88376843,32.12044705,543.1000578,128.0802253,4.118293307,3.858355837,5.600527165,0,0.940424605,-0.340002299,0.0110911,-0.156265697,0.987652783,0,3.64,5.84E-10,3.861334539
-18.82761459,44.65618807,22.02364683,97.25695432,540.4443374,114.3243487,6.490192353,8.703603866,7.947014288,0,0.974122988,-0.226018595,0.124200014,-0.102295412,0.986970114,0,3.64,6.74E-12,8.706582568
-13.48257056,51.67890166,20.01688738,92.69149635,540.1493528,127.5633345,7.383287196,9.409976225,8.81170873,0,0.99470942,-0.102728621,0.110954931,-0.132670946,0.984930162,0,3.64,3.52E-12,9.412954927
-22.90752116,319.8126478,28.04691888,235.5695689,540.9278953,84.17592722,5.647295263,8.057709745,7.067113795,0,0.92749489,-0.373835831,-0.129106004,-0.020068759,0.9914277,22.68,3.64,1.22E-11,8.060688447
-11.40676795,80.76645849,29.36895967,105.5665008,540.1894807,132.7256782,6.595539016,8.081033739,7.999759792,0,0.996369751,-0.085131193,0.051520026,-0.113720838,0.992176022,0,3.64,1.20E-11,8.084012441
-11.44345446,255.6177079,24.72194875,310.5139516,541.4111401,115.4038324,7.186011666,9.317732187,8.577719222,0,0.993517026,-0.113683419,0.118244609,-0.086504852,0.989209342,0,3.64,3.83E-12,9.320710889
-26.91173702,51.68913114,21.88383955,51.58502253,543.1643004,131.2043194,4.459920023,3.960554138,5.848440277,0,0.953357627,-0.301843064,-0.000275922,-0.16235133,0.986732978,22.68,3.64,5.32E-10,3.96353284
-24.42775008,87.40630985,30.96259845,32.89584544,543.3113084,103.9162434,5.392305259,7.542718223,6.775422801,0,0.937602643,-0.347708619,-0.094085293,-0.072853167,0.992894946,22.68,3.64,1.96E-11,7.545696925
-21.21029732,262.3648527,34.19312707,324.5357543,541.1911207,99.01326498,5.435543972,7.595662815,6.804226819,0,0.949660141,-0.313282009,0.092644471,-0.052965371,0.994289531,0,3.64,1.87E-11,7.598641517
-25.25893758,89.09422088,29.08119224,116.9846631,539.8648174,119.4172056,4.62868571,6.65802732,5.986020504,0,0.946534954,-0.322601273,0.056311508,-0.112704954,0.992031556,0,3.64,4.43E-11,6.661006022
-11.05027017,306.9304301,34.17261104,320.2677958,540.9755326,133.0353753,6.213102122,6.957057531,7.547062061,0,0.996064672,-0.088629393,0.024264607,-0.103956334,0.994285829,0,3.64,3.37E-11,6.960036233
-21.00963675,314.2463114,32.38451802,214.4147785,541.2828664,70.93536212,5.269308318,7.325775834,6.595242457,0,0.927321693,-0.37426525,-0.112288919,0.014379411,0.993571553,22.68,3.64,2.40E-11,7.327592031
-21.04085438,301.7736575,20.2681102,29.05348766,543.3038697,85.24915629,6.463754206,8.815050687,7.776389053,0,0.938216478,-0.346048898,0.171053541,-0.019345786,0.985071787,0,3.64,6.08E-12,8.818029389
-15.02766706,70.94106776,32.1995276,41.07265184,542.9177589,124.7877306,5.861142146,7.469863704,7.150871057,0,0.986797774,-0.161957256,-0.055655669,-0.099703795,0.99345941,22.68,3.64,2.10E-11,7.472842406
-15.31963437,48.81273486,22.15568311,56.29894648,542.545513,141.8134132,6.27041038,6.000574417,7.542189753,0,0.994241367,-0.107163915,0.020302262,-0.15934897,0.987013538,0,3.64,8.12E-11,6.003553119
-13.51578908,50.70688905,26.13478697,63.52941889,542.5636943,138.4331506,6.386125271,6.882153602,7.595620233,0,0.995097231,-0.098901467,0.030310637,-0.136451762,0.990182903,0,3.64,3.61E-11,6.885132304
-19.39771586,102.6026207,33.32554846,121.6120672,539.8107964,124.2416501,4.959026639,6.254778943,6.156739123,0,0.972608472,-0.232449478,0.034598233,-0.103919013,0.993983803,0,3.64,6.43E-11,6.257757645
-12.2826631,286.8268752,58.67991211,258.4257788,540.253497,105.3700525,5.146313391,6.569114503,6.340018285,0,0.985056093,-0.172233832,-0.022103768,-0.041307316,0.998901962,22.68,3.64,4.81E-11,6.572093206
-15.7785558,48.85052934,23.59890171,66.613792,542.3809828,136.9653927,6.256029565,7.346603447,7.43676482,0,0.991658659,-0.128891834,0.045176873,-0.145753507,0.988288908,0,3.64,2.35E-11,7.34958215
-14.79895169,96.43944801,33.25945411,25.51054488,543.7921763,97.12714547,6.130308021,8.191770137,7.29968562,0,0.975731109,-0.218972153,-0.103439937,-0.038735852,0.993881136,22.68,3.64,1.08E-11,8.194748839
-17.89181865,291.1310191,37.79341071,314.4652457,540.9801353,120.1477875,5.1223617,6.453366783,6.270141862,0,0.974857981,-0.222827102,0.03672959,-0.087603785,0.995478033,0,3.64,5.35E-11,6.456345485
-15.84349863,98.86965766,23.80306539,114.0644485,539.681175,137.6653657,6.205968891,6.972827809,7.33402003,0,0.991541097,-0.129793117,0.0383729,-0.145938273,0.98854921,0,3.64,3.32E-11,6.975806511
-17.43586888,97.91464084,74.55328701,280.2703938,542.7716882,57.13206868,3.944374308,5.57005583,5.065385901,0,0.947361953,-0.320164537,-0.000894389,0.02158803,0.999766551,22.68,3.64,1.21E-10,5.571432811
-11.96134025,94.00330497,61.7864642,45.28976762,542.3687988,97.03850962,5.157086615,6.838198718,6.249797459,0,0.983624368,-0.180230693,-0.031076723,-0.027629292,0.999135056,22.68,3.64,3.76E-11,6.84117742
-22.41992866,320.2136331,27.23897055,33.6682913,542.8238007,93.4106473,6.137821326,8.12830411,7.222352657,0,0.939529745,-0.34246731,0.127012722,-0.044750171,0.990891109,0,3.64,1.14E-11,8.131282812
-27.93825873,88.22788612,21.89661728,46.79640673,543.1064683,116.0946921,5.800370505,7.770218684,6.880375037,0,0.934929835,-0.354832642,-0.101461828,-0.126629439,0.986747426,22.68,3.64,1.59E-11,7.773197386
-17.70799423,94.25129188,33.42220136,220.4372774,541.7382321,50.43428198,4.591871507,6.405505389,5.661584914,0,0.931425406,-0.363932291,0.09040263,0.061816273,0.993984966,0,3.64,1.40E-11,7.913703719
-11.88111598,105.4453984,40.68680544,58.60921278,542.6659039,111.9254716,6.174400242,7.771659138,7.242247817,0,0.989138209,-0.146988449,-0.062645999,-0.060100972,0.996224549,22.68,3.64,1.59E-11,7.77463784
-22.48558354,271.5012506,32.27170357,321.6651928,541.2916319,107.2328908,5.678175823,7.46754949,6.745213092,0,0.949845486,-0.312719607,0.084874926,-0.075545607,0.993523582,0,3.64,2.10E-11,7.470528192
-26.58003144,88.23727317,25.43254337,137.0749077,539.4627033,109.8422625,5.869304383,7.740314124,6.91903285,0,0.933344059,-0.358983102,0.102814196,-0.09870879,0.989790794,0,3.64,1.64E-11,7.743292826
-25.51343521,35.96355566,23.63026081,34.36939203,583.6919287,130.8320665,4.980617248,4.233185339,6.028941188,0,0.960209225,-0.279281657,-0.004225275,-0.161539388,0.98685722,22.68,3.64,4.14E-10,4.236164041
-11.38428202,98.52973989,47.75032814,320.3691352,541.2277831,50.4183129,4.065453431,5.868444992,5.085820623,0,0.968955466,-0.247235321,-0.046493237,0.050837741,0.997624129,22.68,3.64,9.20E-11,5.869065979
-26.35009696,89.25792978,28.60404055,113.1845662,540.6425799,120.4392681,4.75900884,6.350202902,5.77836119,0,0.942144408,-0.335207271,0.049442564,-0.118254163,0.991751676,0,3.64,5.89E-11,6.353181604
-22.73294608,71.46836931,37.58128541,71.11474792,540.734707,119.6848504,4.317374088,4.445009114,5.335548007,0,0.955035437,-0.296491677,-0.000569831,-0.095601532,0.995419521,22.68,3.64,3.40E-10,4.447987816
-15.98607042,267.8290484,72.2400101,82.62291937,540.579515,56.33725335,4.089081806,5.551748912,5.10149015,0,0.954196121,-0.299181821,0.002278719,0.024822164,0.999689286,0,3.64,4.96E-11,6.539308224
-18.50176222,314.833655,22.93258363,213.9313984,541.0353084,73.21200902,6.299452249,7.939743289,7.305827961,0,0.93991168,-0.341417682,-0.154469695,0.021181219,0.987770454,22.68,3.64,1.36E-11,7.941228953
-15.82572282,73.75059397,55.75487457,312.4098727,540.6091106,59.53360746,4.482983237,5.939001316,5.488368481,0,0.954412058,-0.29849225,-0.044996194,0.026584031,0.998633382,22.68,3.64,8.61E-11,5.940138162
-22.20054053,91.46540616,24.20961944,43.18193051,543.4703628,114.0153048,6.379850062,8.146552569,7.381083599,0,0.9595837,-0.281423387,-0.107748293,-0.103788046,0.988745845,22.68,3.64,1.13E-11,8.149531271
-15.40250154,50.417624,27.77844888,48.1988721,583.235945,136.7655336,6.192880886,5.522897372,7.187429429,0,0.991796156,-0.127829516,-0.005279251,-0.140182764,0.990111571,22.68,3.64,1.26E-10,5.525876074
-18.29485401,306.7424292,23.15555399,269.0188839,542.1524785,124.5450959,6.626447354,8.27572072,7.619915369,0,0.981050139,-0.193754034,-0.091749935,-0.124859151,0.987923146,22.68,3.64,9.99E-12,8.278699422
-20.43040709,45.83807542,20.76942308,326.5929648,542.0876231,92.27655589,6.840663922,8.808706766,7.832824768,0,0.949238859,-0.314556176,-0.163656699,-0.041110681,0.985660386,22.68,3.64,6.12E-12,8.811685468
-21.79074785,315.2499806,29.48646263,225.7010302,541.0227404,79.84235196,6.005109184,8.015588334,6.983570015,0,0.930055688,-0.367418585,-0.124313163,-0.007159634,0.992217203,22.68,3.64,1.27E-11,8.018567036
-12.37824225,94.60678359,25.54583078,63.00212401,542.7340754,131.1566669,7.304606509,8.63334227,8.275464373,0,0.995620758,-0.09348426,-0.073351387,-0.122372412,0.989769957,22.68,3.64,7.19E-12,8.636320972
-25.23775898,54.17059236,38.79870529,54.61204943,542.3124087,115.9622022,4.061062873,4.189391379,5.024193483,0,0.939996075,-0.341185257,0.000683415,-0.092173534,0.995742724,0,3.64,4.31E-10,4.192370081
-14.90054401,267.5880385,47.26453074,28.74291488,541.182334,58.11965153,4.45162361,6.108846128,5.407746052,0,0.956568642,-0.291507174,0.06051631,0.035178005,0.997547134,0,3.64,2.27E-11,7.385664165
-13.78657109,104.3054472,43.5352501,114.7944746,540.1017459,121.880861,5.562796367,6.125786131,6.512298443,0,0.986753286,-0.162228091,0.014134846,-0.07761143,0.99688348,0,3.64,7.24E-11,6.128764833
-14.50610547,264.3754562,22.10834672,228.990902,540.8776001,129.5675919,7.325480471,8.800540221,8.266793111,0,0.992708598,-0.120538955,-0.090647829,-0.132473177,0.987032841,22.68,3.64,6.16E-12,8.803518923
-20.3004559,93.06421459,65.8374747,183.8684684,541.5824233,71.21999303,4.501858251,6.330735431,5.43999001,0,0.937794387,-0.347191141,0.034841152,3.97E-05,0.999392862,0,3.64,5.98E-11,6.335572902
-12.18058389,262.9522137,28.64279013,229.911569,540.8079446,128.1700485,7.109895835,8.355128521,8.011341534,0,0.994541771,-0.104339186,-0.06861472,-0.108103247,0.991768979,22.68,3.64,9.29E-12,8.358107223
