phi_1 (deg),phi_2 (deg),solarAngle (deg),SA_coeff,Chassis_coeff,ABmag,ABmag_Origin
0,-15,-15,0.8746793687148489,1.0,15.0,15.0
5,-15,-10,0.8937996598172936,1.0,15.0,15.0
10,-15,-5,0.907499953350734,1.0,15.0,15.0
15,-15,0,0.9174404004523514,1.0,15.0,15.0
20,-15,5,0.9069397109175096,1.0,15.0,15.0
25,-15,10,0.893968851083764,1.0,15.0,15.0
30,-15,15,0.8784895805932725,1.0,6.269874846975827,6.157194699348213
35,-15,20,0.8602320767766553,1.0,6.081509722564064,5.951306627137681
40,-15,25,0.83865295040361,1.0,5.935112947132835,5.784268056841247
45,-15,30,0.8128468346115689,1.0,5.830135257422837,5.654988630570701
50,-15,35,0.7813690883507126,1.0,5.766897029896389,5.5629820796687
55,-15,40,0.7418869736577696,1.0,5.746408851091431,5.508021859627109
60,-15,45,0.6904666686987628,1.0,5.770718618651024,5.490186354617395
65,-15,50,0.6199928760844244,1.0,5.843919963020317,5.510266226756415
70,-15,55,0.5162084934359408,1.0,5.974161200298209,5.5704786146839815
75,-15,60,0.3458257247632391,1.0,6.177716975772864,5.675464935262742
80,-15,65,0.0089629309656821,1.0,6.488898265531072,5.833669866282836
85,-15,70,0.0,1.0,6.43042630602895,6.059594233863792
90,-15,75,0.0,1.0,6.378680203401875,6.378680203401875
95,-15,80,0.0,1.0,6.334579344031855,6.334579344031855
100,-15,85,0.0,1.0,6.288796700852909,6.288796700852909
105,-15,90,0.0,1.0,6.233445636850875,6.233445636850875
110,-15,95,0.0,1.0,6.166345618181777,6.166345618181777
115,-15,100,0.0,1.0,6.093410339129111,6.093410339129111
120,-15,105,0.0,1.0,6.02566253845068,6.02566253845068
125,-15,110,0.0,1.0,5.969082903849294,5.969082903849294
130,-15,115,0.0,1.0,5.911557373610758,5.911557373610758
135,-15,120,0.0,1.0,5.820080762436156,5.820080762436156
140,-15,125,0.0,1.0,5.664153294761212,5.664153294761212
145,-15,130,0.0,1.0,5.463677520414621,5.463677520414621
150,-15,135,0.0,1.0,5.322074755916589,5.322074755916589
155,-15,140,0.0,1.0,5.392191584346841,5.392191584346841
160,-15,145,0.0,1.0,5.796637699335565,5.796637699335565
165,-15,150,0.0,1.0,6.669994503359186,6.669994503359186
170,-15,155,0.0,1.0,11.523249526809396,11.523249526809396
175,-15,160,0.0,0.0,15.0,15.0
180,-15,165,0.0,0.0,15.0,15.0
